headword,pronunciation,approval_batch,use_type,root_word,meaning,usage_note,derivation,origin_nation,national_usage,variant_forms,variant_pronunciations,related_words,example_celan,example_translation,source_entry_ids
Woreth,/woh-rehth/,,Adjective,WOR,"Full, Abundant",Wor- (abundance) + -eth,,,,,,Wor; Workalrav; Worlian; Wornyelbel; Worshankal; Worsul; Worvenak; Worxaror; Worzhel,rinaen drenvor woreth.,The bowl is full.,LX-V4-0025
Workalrav,/wor-kahl-rahv/,Post-Fracture Mechanics 1,Noun,WOR,High gravity; gravitational pull substantially stronger than the surrounding norm,,Wor + Kalrav,,,,,Wor; Felkalrav; Woreth; Jekkalrav; Worlian; Kakalrav; Wornyelbel; Kalrav; Worshankal; Kalravaen; Worsul; Kalravor; Worvenak; Worxaror; Worzhel,rinaen workalrav an lianrethor.,There is high gravity in the anomaly zone.,LX-PFM1-0031
Worlian,/wohr-lee-ahn/,Conversational Narrative Engine 1,Quantifier,WOR; LIAN,Enough; sufficient for the relevant need or purpose,,Wor + Lian,,,,,Wor; Lian; Woreth; Lian-; Workalrav; Lianaen; Wornyelbel; Lianbel; Worshankal; Lianbelrin; Worsul; Lianeth; Worvenak; Lianfel; Worxaror; Liankavor; Worzhel; Lianor; Lianreth; Lianthal; Lianthalaen; Lianzhir; Shenlian; Sivshenlian; Thallian; Vellian,rinaen dren worlian.,The water is enough.,LX-CNE1-0022
Wornyelbel,/wor-nyehl-behl/,"Science, Astronomy, and Cosmology 1",Noun,NYEL; WOR,"Galaxy; a vast gravitationally associated gathering of stars, star systems, matter, and related structures",,Wor great or abundant + Nyelbel star system,,,Worenyelbel,/woh-reh-nyehl-behl/,Nyel; Wor; Nyelbel; Kreznyel; Woreth; Workalrav; Nyeleth; Worlian; Nyelzhir; Worshankal; Zhirnyel; Worsul; Worvenak; Worxaror; Worzhel,rinaen nyelbel an wornyelbel.,The star system lies within the galaxy.,LX-SAC1-0012
Worshankal,/wohr-shahn-kahl/,General Magic and Metaphysical Practice 1,Noun,WOR; SHAN; KAL,Overchanneling; passage of more force energy or magical influence than a body tool bond environment or system can safely mediate,,Wor excess + Shan passage + Kal power,,,Worashankal,/woh-rah-shahn-kahl/,Wor; Shan; Kal; Worshankalaen; Woreth; Anshanaen; Kal-; Workalrav; Balshan; Arthkal; Worlian; Belshan; Felkal; Wornyelbel; Davashanaen; Jekkal; Worsul; Dralshaneth; Jorkal; Worvenak; Emilshan; Kalaru; Worxaror; Lorzhiranshan; Kalbelrin; Worzhel; Lorzhirthalshan; Kaldov; Mavbalshanaen; Kaleth; Mavbalshaneth; Kalkel; Morlshan; Kalmek; Ndemshan; Kalmetha; Nokashan; Kalmorl; Norshan; Kalorinath; Ohmshan; Kalrath; Ravshan; Kalrav; Selshan; Kalrin; Shalshan; Kalshen; Shanartheth; Kalvok; Shankalaen; Kalvokesh; Shanmek; Kalwek; Shanmorl; Mahrkal; Shannali; Morkal; Shantham; Rethkal; Shanvelrathor; Serenkal; Shanvelzhiraen; Terrashaneth; Tirkal; Thalshanaen; Zhirkalor; Urenshan; Vaarshan; Varshanmek; Velpralim; Zhelshan; Zhelshaneth,kesxaraen arural shara; nor jor worshankal.,The practitioner veils the route from notice; then overchanneling occurs.,LX-GMMP1-0047
Worshankalaen,/wohr-shahn-kah-lah-ehn/,General Magic and Metaphysical Practice 1,Verb,,To overchannel power or magical influence,,Worshankal overchanneling + -aen verb,,,,,Worshankal,kes zhaelral worshankal; worshankalaen arural shan ohmpel.,The healer detects overchanneling; the practitioner overchannels through the focus.,LX-GMMP1-0048
Worsul,/wor-sool/,"Environment, Geography, and Ecology 1",Noun,SUL; WOR,Resource abundance or surplus; a condition in which usable supply substantially exceeds present need,,Wor fullness or abundance + Sul resource,,,,,Sul; Wor; Kasul; Woreth; Kavsul; Workalrav; Versul; Worlian; Weksul; Wornyelbel; Worshankal; Worvenak; Worxaror; Worzhel,shen lorbel sul; rinaen worsul an kavvek.,The government measures the resources; abundance fills the stores.,LX-EGE1-0068
Worvenak,/wohrveh-nahk/,,Noun,VENAK; WOR,Abundant stew,Wor + venak = warmth,,,,,,Venak; Wor; Morvenak; Woreth; Workalrav; Worlian; Wornyelbel; Worshankal; Worsul; Worxaror; Worzhel,Worvenak kal dren.,The abundant stew strengthens by the water.,LX-V2-0113
Worxaror,/wohr-xahr-ohr/,Built Spaces and Public Infrastructure 1,Noun,WOR,Hall; a large interior room intended for gathering passage or shared activity,,Wor great or full + Xaror room,,,Woraxaror,/woh-rah-xahr-ohr/,Wor; Xaror; Woreth; Workalrav; Worlian; Wornyelbel; Worshankal; Worsul; Worvenak; Worzhel,rinaen welrim an worxaror.,The feast is in the hall.,LX-BSPI1-0012
Worzhel,/wohr-zhehl/,"Information, Computation, Automation, and Electrical Systems 1",Noun,WOR; ZHEL,Overload; a condition in which supplied power current or demand exceeds the safe capacity of a system,,Wor excess or abundance + Zhel energy,,,,,Wor; Zhel; Woreth; Jorzhel; Workalrav; Kavzhelaen; Worlian; Kazhel; Wornyelbel; Ngarzhel; Worshankal; Ravzhel; Worsul; Thalzhelaen; Worvenak; Zhelaen; Worxaror; Zhelbel; Zheldava; Zhelkav; Zhelkor; Zhelpel; Zhelpralaen; Zhelreth; Zhelshan; Zhelshaneth; Zhelshara; Zhelvek; Zhelvorkor; Zhelwel; Zhelxar,tal jorzhel worzhel an zhelshara.,The surge causes an overload in the circuit.,LX-ICAES1-0045
Xar,/xahr/,,Noun,,Shadow or cover (tied to concealed or protective qualities).,Conceptual range: Cover; veil; concealment for protection,,,,,,Aivkorxar; Aneshxar; Arthaxar; Belxar; Davaxar; Dralxar; Eshxar; Kaxaraen; Kesxar; Korinxar; Lianrethxar; Lorinorxar; Lorinshalxar; Mahrxaror; Mahrxarvek; Mavbalxar; Nderuxar; Remashalxar; Remaxar; Vekxaror; Velxar; Verdxar; Wekxar; Xaraen; Xardava; Xaresh; Xarfelvin; Xarkaleth; Xarkrezaen; Xarlorin; Xarmetha; Xarmorl; Xarnesh; Xaror; Xarphelor; Xarrin; Xarvek; Xarvel; Xarvethral; Xarwelor; Xarzhir; Zhelxar; Zorxar,rinaen xar esh mekor.,A cover is over the building.,XR-xar; DM-RM-V2-0019
Xar,/xahr/,,Verb,,To cover / To shelter / To close off,,,,,,,Aivkorxar; Aneshxar; Arthaxar; Belxar; Davaxar; Dralxar; Eshxar; Kaxaraen; Kesxar; Korinxar; Lianrethxar; Lorinorxar; Lorinshalxar; Mahrxaror; Mahrxarvek; Mavbalxar; Nderuxar; Remashalxar; Remaxar; Vekxaror; Velxar; Verdxar; Wekxar; Xaraen; Xardava; Xaresh; Xarfelvin; Xarkaleth; Xarkrezaen; Xarlorin; Xarmetha; Xarmorl; Xarnesh; Xaror; Xarphelor; Xarrin; Xarvek; Xarvel; Xarvethral; Xarwelor; Xarzhir; Zhelxar; Zorxar,rinaen xar esh mekor.,A cover is over the building.,XR-xar; DM-RM-V2-0019
Xaraen,/xah-rah-ehn/,Conversational Narrative Engine 1,Verb,XAR,To close cover or move an opening into a shut state,,Xar + -aen,,,,,Xar; Aivkorxar; Aneshxar; Arthaxar; Belxar; Davaxar; Dralxar; Eshxar; Kaxaraen; Kesxar; Korinxar; Lianrethxar; Lorinorxar; Lorinshalxar; Mahrxaror; Mahrxarvek; Mavbalxar; Nderuxar; Remashalxar; Remaxar; Vekxaror; Velxar; Verdxar; Wekxar; Xardava; Xaresh; Xarfelvin; Xarkaleth; Xarkrezaen; Xarlorin; Xarmetha; Xarmorl; Xarnesh; Xaror; Xarphelor; Xarrin; Xarvek; Xarvel; Xarvethral; Xarwelor; Xarzhir; Zhelxar; Zorxar,xaraen I vorkor.,I close the door.,LX-CNE1-0006
Xardava,/xahr-dah-vah/,"Information, Computation, Automation, and Electrical Systems 1",Noun,DAVA; XAR,Encrypted or deliberately protected information whose usable content is concealed without authorized recovery,,Xar protective concealment + Dava information,,,,,Dava; Xar; Kaxardavaen; Andavaen; Aivkorxar; Xardavaen; Beldava; Aneshxar; Davapral; Arthaxar; Davashanaen; Belxar; Davaxar; Deldavaen; Dralxar; Kavdava; Eshxar; Kavdavaen; Kaxaraen; Kavdeldava; Kesxar; Korinxar; Kesdava; Lianrethxar; Kesdavaen; Lorinorxar; Rethdava; Lorinshalxar; Rethzheldava; Mahrxaror; Shendava; Mahrxarvek; Thaldavaen; Mavbalxar; Nderuxar; Zheldava; Remashalxar; Remaxar; Vekxaror; Velxar; Verdxar; Wekxar; Xaraen; Xaresh; Xarfelvin; Xarkaleth; Xarkrezaen; Xarlorin; Xarmetha; Xarmorl; Xarnesh; Xaror; Xarphelor; Xarrin; Xarvek; Xarvel; Xarvethral; Xarwelor; Xarzhir; Zhelxar; Zorxar,kes kavral rethdava an xardava.,The archivist notices corruption in the encrypted information.,LX-ICAES1-0033
Xardavaen,/xahr-dah-vah-ehn/,"Information, Computation, Automation, and Electrical Systems 1",Verb,DAVA,To encrypt; to transform information into a protected form that conceals its usable content,,Xardava protected information + -aen verb,,,,,Dava; Kaxardavaen; Andavaen; Xardava; Beldava; Davapral; Davashanaen; Davaxar; Deldavaen; Kavdava; Kavdavaen; Kavdeldava; Kesdava; Kesdavaen; Rethdava; Rethzheldava; Shendava; Thaldavaen; Zheldava,xardavaen kavral kavdava; rinaen la xardava.,The archivist encrypts the record; it is protected information.,LX-ICAES1-0034
Xaresh,/xah-rehsh/,,Noun,XAR; ESH,"Cloak, Mantle",Xar (cover) + Esh (sky/air),,,,,,Xar; Esh; Aivkorxar; Esh-; Aneshxar; Arthaxar; Drenesh; Belxar; Drenvelesh; Davaxar; Drenvokesh; Dralxar; Esharu; Eshxar; Eshdren; Kaxaraen; Eshdrenaen; Kesxar; Eshjor; Korinxar; Eshkar; Lianrethxar; Eshkrezaen; Lorinorxar; Eshlin; Lorinshalxar; Eshlor; Mahrxaror; Eshlorien; Mahrxarvek; Eshlorral; Mavbalxar; Eshmekor; Nderuxar; Eshnor; Remashalxar; Eshpral; Remaxar; Eshpralaen; Vekxaror; Eshpralor; Velxar; Eshtenor; Verdxar; Eshthael; Wekxar; Eshtrakor; Xaraen; Eshvan; Xardava; Eshvaraen; Xarfelvin; Eshvek; Xarkaleth; Eshvelaneth; Xarkrezaen; Eshvelor; Xarlorin; Eshvilor; Xarmetha; Eshweknor; Xarmorl; Xarnesh; Kalvokesh; Xaror; Mekeshpral; Xarphelor; Pralvokesh; Xarrin; Terraesh; Xarvek; Zhivokesh; Xarvel; Zunesh; Xarvethral; Xarwelor; Xarzhir; Zhelxar; Zorxar,Arth xaresh I thal velk.,The cloak protects me from the ice.,LX-V4-0038
Xarfelvin,/xahrfehlveen/,,Noun,XAR; FEL; VIN,Adoptive Niece/Nephew,Xar (protection) + Fel (young) + vin (pulled).,,,,,,Xar; Fel; Vin; Aivkorxar; Dralfel; Felvin; Aneshxar; Drenfel; Jekvin; Arthaxar; Felath; Phelvin; Belxar; Felbelor; Seldrenvinaen; Davaxar; Feldrenaen; Teravin; Dralxar; Feleth; Tharvin; Eshxar; Felin; Verdvin; Kaxaraen; Felkal; Vindrenaen; Kesxar; Felkalrav; Welvinor; Korinxar; Fellak; Zordrenvinaen; Lianrethxar; Fellor; Lorinorxar; Fellun; Lorinshalxar; Felmek; Mahrxaror; Felmekreth; Mahrxarvek; Felmor; Mavbalxar; Felmorl; Nderuxar; Felnor; Remashalxar; Felorin; Remaxar; Felsadar; Vekxaror; Felshara; Velxar; Felshen; Verdxar; Felthamaen; Wekxar; Felvek; Xaraen; Felverd; Xardava; Xaresh; Felvora; Xarkaleth; Felzhir; Xarkrezaen; Kadfel; Xarlorin; Krezfel; Xarmetha; Lianfel; Xarmorl; Pralfel; Xarnesh; Xaror; Xarphelor; Xarrin; Xarvek; Xarvel; Xarvethral; Xarwelor; Xarzhir; Zhelxar; Zorxar,Xarfelvin ser dren an Xarvethral.,The adoptive niece/nephew is with the adoptive parent by the water.,LX-V3-0057
Xarkaleth,/xahr-kah-leth/,Organized Conflict 1,Noun,XAR,Siege; a sustained operation that encloses isolates or denies passage and supplies to a fortified place in order to compel surrender,,Xar covering or enclosure + Kaleth fortress or stronghold,,,,,Xar; Kaleth; Aivkorxar; Aneshxar; Arthaxar; Belxar; Davaxar; Dralxar; Eshxar; Kaxaraen; Kesxar; Korinxar; Lianrethxar; Lorinorxar; Lorinshalxar; Mahrxaror; Mahrxarvek; Mavbalxar; Nderuxar; Remashalxar; Remaxar; Vekxaror; Velxar; Verdxar; Wekxar; Xaraen; Xardava; Xaresh; Xarfelvin; Xarkrezaen; Xarlorin; Xarmetha; Xarmorl; Xarnesh; Xaror; Xarphelor; Xarrin; Xarvek; Xarvel; Xarvethral; Xarwelor; Xarzhir; Zhelxar; Zorxar,rinaen xarkaleth nethnor.,The siege is still continuing.,LX-OC1-0004
Xarkrezaen,/xahr-krehz-ah-ehn/,"Food, Agriculture, and Preservation 2",Verb,XAR; KREZ,To bake; to cook food through sustained dry heat retained around it in an oven or comparable enclosure,,Xar enclosure + Krez heat + -aen; food is supplied by the lexical meaning and context,,,Xarakrezaen,/xah-rah-krehz-ah-ehn/,Xar; Krez; Aivkorxar; Krez-; Aneshxar; Eshkrezaen; Arthaxar; Kavkrez; Belxar; Krezaen; Davaxar; Krezdralfel; Dralxar; Krezdrenaen; Eshxar; Krezdrenvek; Kaxaraen; Krezfel; Kesxar; Krezlorin; Korinxar; Krezmorath; Lianrethxar; Krezmorl; Lorinorxar; Kreznyel; Lorinshalxar; Krezor; Mahrxaror; Krezpral; Mahrxarvek; Krezpralaen; Mavbalxar; Krezrek; Nderuxar; Krezshen; Remashalxar; Kreztharim; Remaxar; Kreztorin; Vekxaror; Krezvek; Velxar; Mavkrez; Verdxar; Olankrezaen; Wekxar; Pelkrezaen; Xaraen; Welkrez; Xardava; Xaresh; Xarfelvin; Xarkaleth; Xarlorin; Xarmetha; Xarmorl; Xarnesh; Xaror; Xarphelor; Xarrin; Xarvek; Xarvel; Xarvethral; Xarwelor; Xarzhir; Zhelxar; Zorxar,xarkrezaen I drenfellak.,I bake the dough.,LX-FAP2-0010
Xarlorin,/xahrloh-reen/,,Noun,XAR,Hidden Spice Tea,Xar = concealed + lorin = guide,,,,,,Xar; Eshlorien; Aivkorxar; Kalorinath; Aneshxar; Krezlorin; Arthaxar; Lorin; Belxar; Sharalorin; Davaxar; Dralxar; Eshxar; Kaxaraen; Kesxar; Korinxar; Lianrethxar; Lorinorxar; Lorinshalxar; Mahrxaror; Mahrxarvek; Mavbalxar; Nderuxar; Remashalxar; Remaxar; Vekxaror; Velxar; Verdxar; Wekxar; Xaraen; Xardava; Xaresh; Xarfelvin; Xarkaleth; Xarkrezaen; Xarmetha; Xarmorl; Xarnesh; Xaror; Xarphelor; Xarrin; Xarvek; Xarvel; Xarvethral; Xarwelor; Xarzhir; Zhelxar; Zorxar,Nethaen xarlorin an dren.,The tea rests by the water.,LX-V2-0186
Xarmetha,/xahr-meh-thah/,"Body, Internal Anatomy, and Ordinary Bodily Functions 1",Noun,METHA; XAR,Living skin; the body's outer protective tissue,,Xar body or embodied exterior + Metha flesh or soft tissue,,,,,Metha; Xar; Kalmetha; Aivkorxar; Aneshxar; Arthaxar; Belxar; Davaxar; Dralxar; Eshxar; Kaxaraen; Kesxar; Korinxar; Lianrethxar; Lorinorxar; Lorinshalxar; Mahrxaror; Mahrxarvek; Mavbalxar; Nderuxar; Remashalxar; Remaxar; Vekxaror; Velxar; Verdxar; Wekxar; Xaraen; Xardava; Xaresh; Xarfelvin; Xarkaleth; Xarkrezaen; Xarlorin; Xarmorl; Xarnesh; Xaror; Xarphelor; Xarrin; Xarvek; Xarvel; Xarvethral; Xarwelor; Xarzhir; Zhelxar; Zorxar,drenselaen I xarmetha.,I wash my skin.,LX-BIAOBF1-0014
Xarmorl,/xahr-morl/,"Environment, Geography, and Ecology 1",Noun,XAR; MORL,Cave or cavern; a naturally sheltered hollow within earth or stone,,Xar protective or concealing cover + Morl stone,,,,,Xar; Morl; Aivkorxar; Morl-; Aneshxar; Brosmorl; Arthaxar; Delmorl; Belxar; Felmorl; Davaxar; Kalmorl; Dralxar; Krezmorl; Eshxar; Mahrmorl; Kaxaraen; Morlatharim; Kesxar; Morlathor; Korinxar; Morldren; Lianrethxar; Morljor; Lorinorxar; Morlpral; Lorinshalxar; Morlshan; Mahrxaror; Morlshara; Mahrxarvek; Morlverd; Mavbalxar; Morlzhir; Nderuxar; Neshmorl; Remashalxar; Pelmorl; Remaxar; Sadarmorl; Vekxaror; Shanmorl; Velxar; Velkmorl; Verdxar; Wekxar; Xaraen; Xardava; Xaresh; Xarfelvin; Xarkaleth; Xarkrezaen; Xarlorin; Xarmetha; Xarnesh; Xaror; Xarphelor; Xarrin; Xarvek; Xarvel; Xarvethral; Xarwelor; Xarzhir; Zhelxar; Zorxar,var sharavok shan morlshara var xarmorl.,The caravan travels through the mountain pass toward the cave.,LX-EGE1-0005
Xarnesh,/xahr-nehsh/,"Food, Agriculture, and Preservation 1",Noun,NESH; XAR,Shellfish; an aquatic creature distinguished by a hard protective outer covering,,Xar protective covering + Nesh aquatic creature,,,,,Nesh; Xar; Neshbrenaen; Aivkorxar; Neshbrenral; Aneshxar; Neshmorl; Arthaxar; Belxar; Davaxar; Dralxar; Eshxar; Kaxaraen; Kesxar; Korinxar; Lianrethxar; Lorinorxar; Lorinshalxar; Mahrxaror; Mahrxarvek; Mavbalxar; Nderuxar; Remashalxar; Remaxar; Vekxaror; Velxar; Verdxar; Wekxar; Xaraen; Xardava; Xaresh; Xarfelvin; Xarkaleth; Xarkrezaen; Xarlorin; Xarmetha; Xarmorl; Xaror; Xarphelor; Xarrin; Xarvek; Xarvel; Xarvethral; Xarwelor; Xarzhir; Zhelxar; Zorxar,rinaen xarnesh an emilpral.,The shellfish is on the plate.,LX-FAP1-0016
Xaror,/xahr-ohr/,Built Spaces and Public Infrastructure 1,Noun,XAR,Room or chamber; a bounded interior space within a structure,,Xar enclosure + -or place,,,,,Xar; Worxaror; Aivkorxar; Aneshxar; Arthaxar; Belxar; Davaxar; Dralxar; Eshxar; Kaxaraen; Kesxar; Korinxar; Lianrethxar; Lorinorxar; Lorinshalxar; Mahrxaror; Mahrxarvek; Mavbalxar; Nderuxar; Remashalxar; Remaxar; Vekxaror; Velxar; Verdxar; Wekxar; Xaraen; Xardava; Xaresh; Xarfelvin; Xarkaleth; Xarkrezaen; Xarlorin; Xarmetha; Xarmorl; Xarnesh; Xarphelor; Xarrin; Xarvek; Xarvel; Xarvethral; Xarwelor; Xarzhir; Zhelxar; Zorxar,rinaen quen trakor an xaror.,There are four boots in the room.,LX-BSPI1-0011
Xarphelor,/xahr-phehl-ohr/,National Expansion 1,Noun,XAR; PHEL,Warmth-retaining shelter,,Xar + Phel + -or,Nivveil,A Nivveilian insulated shelter built to preserve warmth.,,,Xar; Phel; Aivkorxar; Fennilphel; Aneshxar; Phelkarin; Arthaxar; Phelmorin; Belxar; Phelrin; Davaxar; Phelvin; Dralxar; Zhaelphel; Eshxar; Kaxaraen; Kesxar; Korinxar; Lianrethxar; Lorinorxar; Lorinshalxar; Mahrxaror; Mahrxarvek; Mavbalxar; Nderuxar; Remashalxar; Remaxar; Vekxaror; Velxar; Verdxar; Wekxar; Xaraen; Xardava; Xaresh; Xarfelvin; Xarkaleth; Xarkrezaen; Xarlorin; Xarmetha; Xarmorl; Xarnesh; Xaror; Xarrin; Xarvek; Xarvel; Xarvethral; Xarwelor; Xarzhir; Zhelxar; Zorxar,rinaen phel an xarphelor.,Warmth is in the insulated shelter.,LX-NE1-0022
Xarrin,/xahr-reen/,General Magic and Metaphysical Practice 1,Noun,XAR; RIN,Metaphysical seal or containment; a maintained condition that closes confines or prevents passage across a metaphysical boundary,,Xar cover or closure + Rin essence,,,Xararin,/xah-rah-reen/,Xar; Rin; Aivkorxar; Rin-; Aneshxar; Arthrin; Arthaxar; Balrin; Belxar; Belrin; Davaxar; Brosrin; Dralxar; Kalrin; Eshxar; Kelrin; Kaxaraen; Kesrin; Kesxar; Phelrin; Korinxar; Rathrin; Lianrethxar; Rinaen; Lorinorxar; Rinarshor; Lorinshalxar; Rinaru; Mahrxaror; Rinbel; Mahrxarvek; Rinbelxar; Mavbalxar; Rinmek; Nderuxar; Rinpel; Remashalxar; Rinpral; Remaxar; Rinshen; Vekxaror; Rinvarash; Velxar; Rinvek; Verdxar; Serathrin; Wekxar; Shalrin; Xaraen; Talrin; Xardava; Vaarrin; Xaresh; Velrin; Xarfelvin; Vethrin; Xarkaleth; Welrin; Xarkrezaen; Xarlorin; Xarmetha; Xarmorl; Xarnesh; Xaror; Xarphelor; Xarvek; Xarvel; Xarvethral; Xarwelor; Xarzhir; Zhelxar; Zorxar,rinaen arthrin shalvar vorkor ser xarrin an lianrethor.,A ward is before the gate and a metaphysical seal is at the anomaly zone.,LX-GMMP1-0016
Xarvek,/xahr-vehk/,Domestic and Sensory Life 1,Noun,XAR; VEK,"An enclosed household storage container; chest, cupboard, or cabinet",,Xar + Vek,,,,,Xar; Vek; Aivkorxar; Anvekaen; Aneshxar; Balvek; Arthaxar; Belvekaen; Belxar; Dorvekaen; Davaxar; Drenkavvek; Dralxar; Eshvek; Eshxar; Felvek; Kaxaraen; Jekzhirvek; Kesxar; Karvek; Korinxar; Kavvek; Lianrethxar; Kelvekral; Lorinorxar; Kormekvek; Lorinshalxar; Krenzhirvek; Mahrxaror; Krezdrenvek; Mahrxarvek; Krezvek; Mavbalxar; Lorvekaen; Nderuxar; Lorvekral; Remashalxar; Mahrvek; Remaxar; Vekxaror; Morvek; Velxar; Ndavivek; Verdxar; Nethvek; Wekxar; Ngarvek; Xaraen; Pralvek; Xardava; Ravjorvek; Xaresh; Ravvekaen; Xarfelvin; Rinvek; Xarkaleth; Shalilvek; Xarkrezaen; Thalvekaen; Xarlorin; Thamvek; Xarmetha; Urenvek; Xarmorl; Varvek; Xarnesh; Vekaen; Xaror; Vekin; Xarphelor; Vekmor; Xarrin; Vekpralor; Xarvel; Vekvaraen; Xarvethral; Xarwelor; Welvek; Xarzhir; Zhelvek; Zhelxar; Zhirvek; Zorxar,rinaen belrin an xarvek.,The fabric is in the cupboard.,LX-DSL1-0007
Xarvel,/xahrvehl/,,Noun,XAR; VEL,Covered meal,Xar + vel = sustenance,,,,,,Xar; Vel; Aivkorxar; Drenvelesh; Aneshxar; Eshvelaneth; Arthaxar; Kavel; Belxar; Kavelzhiraen; Davaxar; Pelveltrakor; Dralxar; Tharvelim; Eshxar; Velaen; Kaxaraen; Velaivkor; Kesxar; Velalivar; Korinxar; Velar; Lianrethxar; Velarshor; Lorinorxar; Velbelxar; Lorinshalxar; Veleth; Mahrxaror; Velithor; Mahrxarvek; Veljor; Mavbalxar; Velkavor; Nderuxar; Velkelor; Remashalxar; Velkorin; Remaxar; Velkrin; Vekxaror; Vellian; Velxar; Vellivaraen; Verdxar; Velmarin; Wekxar; Velmarineth; Xaraen; Velmav; Xardava; Velmek; Xaresh; Velmor; Xarfelvin; Velnor; Xarkaleth; Velpralaen; Xarkrezaen; Velpralim; Xarlorin; Velpralor; Xarmetha; Velpraltrakor; Xarmorl; Velrathor; Xarnesh; Velterim; Xaror; Velthaelvok; Xarphelor; Velthaen; Xarrin; Velthamor; Xarvek; Velvaraen; Xarvethral; Xarwelor; Velxorin; Xarzhir; Velzhiraen; Zhelxar; Zorxar,nethaen xarvel an dren.,The covered meal rests by the water.,LX-V2-0115; LX-V2-0156
Xarvel,/xahrvehl/,,Noun,XAR; VEL,Veiled Meal,Xar + vel = concealed sustenance,,,,,,Xar; Vel; Aivkorxar; Drenvelesh; Aneshxar; Eshvelaneth; Arthaxar; Kavel; Belxar; Kavelzhiraen; Davaxar; Pelveltrakor; Dralxar; Tharvelim; Eshxar; Velaen; Kaxaraen; Velaivkor; Kesxar; Velalivar; Korinxar; Velar; Lianrethxar; Velarshor; Lorinorxar; Velbelxar; Lorinshalxar; Veleth; Mahrxaror; Velithor; Mahrxarvek; Veljor; Mavbalxar; Velkavor; Nderuxar; Velkelor; Remashalxar; Velkorin; Remaxar; Velkrin; Vekxaror; Vellian; Velxar; Vellivaraen; Verdxar; Velmarin; Wekxar; Velmarineth; Xaraen; Velmav; Xardava; Velmek; Xaresh; Velmor; Xarfelvin; Velnor; Xarkaleth; Velpralaen; Xarkrezaen; Velpralim; Xarlorin; Velpralor; Xarmetha; Velpraltrakor; Xarmorl; Velrathor; Xarnesh; Velterim; Xaror; Velthaelvok; Xarphelor; Velthaen; Xarrin; Velthamor; Xarvek; Velvaraen; Xarvethral; Xarwelor; Velxorin; Xarzhir; Velzhiraen; Zhelxar; Zorxar,nethaen xarvel an dren.,The covered meal rests by the water.,LX-V2-0115; LX-V2-0156
Xarvethral,/xahrvehthrahl/,,Noun,VETH; XAR; RAL,Adoptive Parent,Xar (concealment/protection) + veth (shadow) + ral (caretaker).,,,,,,Veth; Xar; Ral; Belvethral; Aivkorxar; Aennorral; Shalorveth; Aneshxar; Aenthaelral; Vethbel; Arthaxar; Balral; Vethdren; Belxar; Vethhar; Davaxar; Belzorral; Vethnak; Dralxar; Dovhavral; Vethnor; Eshxar; Droral; Vethpralaen; Kaxaraen; Eshlorral; Vethral; Kesxar; Gavral; Vethrin; Korinxar; Karthaelral; Vethshal; Lianrethxar; Kavral; Vethsoril; Lorinorxar; Kelvekral; Vethvar; Lorinshalxar; Khumkelral; Vethvelrathor; Mahrxaror; Krenral; Mahrxarvek; Lorbelral; Mavbalxar; Lormekral; Nderuxar; Lorvekral; Remashalxar; Mekral; Remaxar; Mormekral; Vekxaror; Naklorral; Velxar; Neshbrenral; Verdxar; Nkural; Wekxar; Norpralral; Xaraen; Pralral; Xardava; Rinpralral; Xaresh; Shenral; Xarfelvin; Thaelral; Xarkaleth; Xarkrezaen; Zhaelral; Xarlorin; Zhirkelral; Xarmetha; Xarmorl; Xarnesh; Xaror; Xarphelor; Xarrin; Xarvek; Xarvel; Xarwelor; Xarzhir; Zhelxar; Zorxar,Xarvethral ser Felka thal dren.,The adoptive parent is with the child by the water.,LX-V3-0046
Xarwelor,/xahr-weh-lohr/,Built Spaces and Public Infrastructure 1,Noun,XAR; WEL,Courtyard; an open shared space enclosed by buildings or walls,,Xar enclosure + Wel communal flow + -or place,,,,,Xar; Wel; Aivkorxar; Kaweleth; Aneshxar; Mahrwel; Arthaxar; Ngarwel; Belxar; Thalwelvar; Davaxar; Welaenthael; Dralxar; Welarth; Eshxar; Weleth; Kaxaraen; Welgorm; Kesxar; Welkarin; Korinxar; Welkelthar; Lianrethxar; Welkrez; Lorinorxar; Welmor; Lorinshalxar; Welnali; Mahrxaror; Welpralor; Mahrxarvek; Welrim; Mavbalxar; Welrin; Nderuxar; Weltal; Remashalxar; Welvek; Remaxar; Welvinor; Vekxaror; Welzhirbel; Velxar; Welzor; Verdxar; Zhelwel; Wekxar; Xaraen; Xardava; Xaresh; Xarfelvin; Xarkaleth; Xarkrezaen; Xarlorin; Xarmetha; Xarmorl; Xarnesh; Xaror; Xarphelor; Xarrin; Xarvek; Xarvel; Xarvethral; Xarzhir; Zhelxar; Zorxar,rinaen drojormek an xarwelor.,The fountain is in the courtyard.,LX-BSPI1-0013
